COD_SAIDA,COD_OP,SKU,NOME_ARQUIVO,MARCA,ESCOLA,REGIAO,TIRAGEM,SEGMENTO,ENSINO,TURNO,MODELO,MATERIAL,SEPARACAO,MIOLO_PAPEL,MIOLO_FORMATO,MIOLO_GRAMATURA,MIOLO_COR,CAPA_TIPO,ACABAMENTO1,REFILE,FORMATO_FINAL,MAQUINARIO,DATA_SAIDA,DATA_ENTREGA
,,,PM3 - 9º Militar Tarde,ELITE,Campo Grande 1,,34,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Guadalupe,,41,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Iguaçuano,,32,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Ilha do Governador,,45,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Irajá,,31,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Nilópolis,,44,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Norte Shopping,,43,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Realengo,,35,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Santa Cruz,,45,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,São Gonçalo,,40,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,São João de Meriti,,44,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Tijuca,,30,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,PM3 - 9º Militar Tarde,ELITE,Bonsucesso,,24,Militar,,Tarde,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Alípio de Melo,,18,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Carlos Prates,,19,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Castelo,,22,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Gutierrez 1 (Infantil),,27,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Jaraguá,,6,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Jardim Canadá,,11,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Lagoa Santa,,32,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Manacás,,20,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Ouro Preto,,16,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Santa Amélia,,20,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 4_GERAL_4a ETAPA-v1.pdf,Coleguium,Coleguium Nova Suíça,,19,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Alípio de Melo,,20,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Carlos Prates,,19,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Castelo,,38,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Gutierrez 1 (Infantil),,33,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Jaraguá,,16,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Jardim Canadá,,24,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Lagoa Santa,,33,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Manacás,,21,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Ouro Preto,,20,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Santa Amélia,,21,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_APOSTILA-INF 5_GERAL_4a ETAPA-v1.pdf,Coleguium,Coleguium Nova Suíça,,20,Infantil,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Alípio de Melo,,26,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Carlos Prates,,26,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Castelo,,57,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Conceição do Mato Dentro,,35,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Gutierrez 2 (FUND/EM),,33,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Jaraguá,,21,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Jardim Canadá,,20,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Lagoa Santa,,45,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Manacás,,64,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Ouro Preto,,29,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Santa Amélia,,38,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Internacional Carajás,,26,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-12,2024-09-27
,,,A4_4x0_Apostila_Aluno_1o Ano_4a Etapa.pdf,Coleguium,Coleguium Nova Suíça,,23,EFAI,,Regular,,Apostila,,Offset,A4,90g,4x0,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Alípio de Melo,,38,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Carlos Prates,,32,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Castelo,,28,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Conceição do Mato Dentro,,29,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Gutierrez 2 (FUND/EM),,33,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Jaraguá,,22,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Jardim Canadá,,23,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Lagoa Santa,,38,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Manacás,,27,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Ouro Preto,,35,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Santa Amélia,,30,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Internacional Carajás,,26,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-12,2024-09-27
,,,A4_4x4_Apostila_Aluno_2o Ano_4a Etapa.pdf,Coleguium,Coleguium Nova Suíça,,24,EFAI,,Regular,,Apostila,,Offset,A4,90g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Alípio de Melo,,49,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Carlos Prates,,30,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Castelo,,42,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Conceição do Mato Dentro,,45,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Gutierrez 2 (FUND/EM),,42,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Jaraguá,,24,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Jardim Canadá,,19,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Lagoa Santa,,48,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Manacás,,40,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Ouro Preto,,51,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Santa Amélia,,49,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Internacional Carajás,,30,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-12,2024-09-27
,,,A4_4x4_Apostila_Aluno_3o Ano_4a Etapa.pdf,Coleguium,Coleguium Nova Suíça,,20,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Alípio de Melo,,63,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Carlos Prates,,35,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Castelo,,31,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Gutierrez 2 (FUND/EM),,44,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Jaraguá,,23,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Jardim Canadá,,17,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Lagoa Santa,,64,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Manacás,,44,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Ouro Preto,,45,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Santa Amélia,,53,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Internacional Carajás,,31,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-12,2024-09-27
,,,A4_4x4_Apostila_Aluno_4o Ano_4a Etapa.pdf,Coleguium,Coleguium Nova Suíça,,20,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Alípio de Melo,,69,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Carlos Prates,,47,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Castelo,,49,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Gutierrez 2 (FUND/EM),,42,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Jaraguá,,20,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Jardim Canadá,,27,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Lagoa Santa,,68,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Manacás,,31,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Ouro Preto,,51,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Santa Amélia,,46,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Internacional Carajás,,22,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-12,2024-09-27
,,,A4_4x4_Apostila_Aluno_5o Ano_4a Etapa.pdf,Coleguium,Coleguium Nova Suíça,,18,EFAI,,Regular,,Apostila,,Offset,A4,75g,4X4,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Alípio de Melo,,125,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Internacional Buritis,,23,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Carlos Prates,,47,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Conceição do Mato Dentro,,39,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Gutierrez 2 (FUND/EM),,33,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Jaraguá,,34,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Jardim Canadá,,32,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Lagoa Santa,,65,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Ouro Preto,,64,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Santa Amélia,,60,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Internacional Belvedere,,13,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Internacional Cidade Nova,,29,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Internacional Carajás,,93,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-12,2024-09-27
,,,A4_1x1_Apostila_Aluno_6o Ano_4a Etapa.pdf,Coleguium,Internacional Pampulha Núcleo da Criança,,25,EFAF,,Regular,,Apostila,,Offset,A4,75g,1X1,,Espiral,Não,A4,,2024-09-20,2024-09-27
